PLINK_ID	PAPER_ID
VitisGrape14	034-55 (DVIT 1807)
BacoNoirGrape68	Baco Noir
HybridGrape13	Bertille-seyve 5563
BetaGrape7	Beta
BluejayGrape10	Blue Jay
BluebellGrape81	Bluebell
BornerGrape41	Borner
CabernetFochGrape69	Cabernet Foch
CalandroGrape27	Calandro
CanadiceGrape9	Canadice
CastelGrape89	Castel
CayugaGrape57	Cayuga
ChambourcinGrape55	Chambourcin
ChardonelleGrape46	Chardonel
CorotNoirGrape92	Corot Noir
VitisGrape19	Dan Ben Hanna (DVIT 2669)
WildGrape30	DVIT 1588
WildGrape6	DVIT 1613
WildGrape50	DVIT 1641
WildGrape11	DVIT 1703
HybridGrape40	DVIT 2180
WildGrape31	DVIT 2217.1
WildGrape84	DVIT 2224.8
EinsetGrape65	Einset
FeliciaGrape12	Felicia
FrontenacGrape35	Frontenac (Gris)
FrontenacGrisGrape28	Frontenac (Missouri)
FrontenacGrape21	Frontenac (Nova Scotia)
FrontenacPurpleGrape91	Frontenac (Purple)
HimrodGrape33	Himrod
HybridGrape56	Jackson Sel. #3
VitisGrape64	Kandhar (DVIT 2918)
KayGrayGrape59	Kay Gray
VitisGrape29	Kecskemet (DVIT 2639)
KingoftheNorthGrape17	King of the North
VitisGrape75	L'Arvine (DVIT 2640)
LeonMillotGrape20	Leon Millot
VitisGrape48	Loose Perlette (DVIT 2177)
HybridGrape70	Marechal Foch (California)
FochPurpleGrape60	Marechal Foch (Nova Scotia: AFHRC)
MarechalFochGrape76	Marechal Foch (Nova Scotia: Jost)
MarechalJoffreGrape82	Marechal Joffre
MarquetteGrape52	Marquette (Missouri)
MarquetteGrape49	Marquette (Nova Scotia)
NewYorkMuscatGrape72	New York Muscat
NortonGrape32	Norton
OrionGrape37	Orion
VitisGrape54	Peagudo (DVIT 887)
PetitMiloGrape88	Petit Milo
PetitMuscatGrape26	Petit Muscat
PetiteJewelGrape51	Petite Jewel
PetitePearlGrape67	Petite Pearl
PhoenixGrape21	Phoenix
RebergerGrape8	Reberger
RegentGrape34	Regent
RelianceGrape53	Reliance
HybridGrape36	Rofar Vidor
SabrevoisGrape95	Sabrevois
SeyvalGrape43	Seyval Blanc (Germany)
SeyvalBlancGrape58	Seyval Blanc (Nova Scotia)
SovereignCoronationGrape74	Sovereign Coronation
StCroixGrape25	St. Croix (Minnesota)
StCroixGrape71	St. Croix (Missouri)
StD2Grape1	St. Pepin
StauferGrape18	Staufer
SnelterGrape44	Suelter
SuffolkGrapeGrape63	Suffolk Grape
SwensonRedGrape22	Swenson Red
TriompheDAlsaceGrape73	Triomphe D'Alsace
HybridGrape15	Van Buren
VenusGrape83	Venus
VenusRedGrape78	Venus Red
VidalBlancGrape61	Vidal Blanc (Missouri)
VidalGrape62	Vidal Blanc (Nova Scotia)
VignolesGrape93	Vignoles
VillardBlancGrape77	Villard Blanc
VillarisGrape86	Villaris
WaltersSeedlingGrape42	Walter's Seedling
